answer,word_ids,vocab_size,predicted_profiles
choose,"[18, 9, 12, 12, 7, 4]",34,"[0.3590747117996216, 0.08255481719970703, 1.1156612634658813, 0.00535467267036438, 1.2082793712615967, 0.40214407444000244, 0.08941827714443207, 0.5749348402023315, 0.8909127712249756, 0.9012970328330994, 0.9303418397903442, 1.1105939149856567, 0.6104586720466614, 2.1939547061920166, 0.03226367384195328, 0.8942403197288513, 0.43301036953926086, 0.9339792132377625, 0.425558865070343, 0.08252831548452377, 0.038368090987205505, -0.03497122600674629, 0.6933456659317017, 0.4624186158180237, 0.13002876937389374, 0.5823433995246887, 1.4217851161956787, 0.16471047699451447, 1.6946321725845337, 0.23564742505550385, 1.122753620147705, 0.07740733027458191, 0.2724577784538269, 0.05463393032550812, 0.41178783774375916, 0.4701051115989685, 0.23044809699058533, 0.8615664839744568, 0.31734028458595276, 0.49739113450050354, -0.07325667887926102, 1.1953589916229248, 0.490602046251297, 0.36235591769218445, 1.9175472259521484, 0.2948998808860779, 1.7182519435882568, 1.8714274168014526, 0.06990544497966766, 1.604926586151123, 0.4580519199371338, 0.3895922005176544, 0.930266261100769, 1.392453908920288, 0.5214893221855164, 0.7763997912406921, 0.10958431661128998, 0.3074307441711426, 0.9347831010818481, 1.6711207628250122, 0.5794742703437805, 0.563841700553894, 0.030011005699634552, 0.2533717155456543]"
compare,"[18, 12, 19, 3, 2, 11, 4]",34,"[0.9636139869689941, -0.008403107523918152, 0.7937923669815063, 0.3557303845882416, 1.0400264263153076, 0.011133521795272827, 0.22149568796157837, 0.30871790647506714, 0.8782776594161987, 1.0900605916976929, 0.5305358171463013, 0.9877299070358276, 0.5928172469139099, 1.9316864013671875, 0.5971651673316956, 0.7148008346557617, 1.4526827335357666, 0.38647687435150146, 1.2893314361572266, 0.2626126706600189, 0.15457189083099365, 0.003260776400566101, 1.629732370376587, 0.9274374842643738, 0.6137092113494873, 0.5627310872077942, 0.7680836915969849, 0.03453578054904938, 1.136975884437561, 0.6456809043884277, 0.917249858379364, 0.5091761350631714, 0.9318420886993408, 0.27151551842689514, 1.3612761497497559, 1.2442476749420166, 0.5117640495300293, 0.36407357454299927, 0.7345696687698364, 0.9415308237075806, 0.4218478500843048, 1.2738733291625977, 1.6456055641174316, 1.4407304525375366, 1.1042290925979614, 0.3097289800643921, 1.3002853393554688, 1.3726134300231934, 0.7042169570922852, 0.9909470081329346, 1.5029122829437256, 0.05299937725067139, 1.2410956621170044, 1.1736708879470825, 0.35565051436424255, 1.0853503942489624, -0.02141818404197693, 0.7595683932304382, 0.9060973525047302, 1.5774742364883423, 0.3981636166572571, 1.1010830402374268, 0.022855058312416077, 0.868698239326477]"
complete,"[18, 12, 19, 3, 14, 4, 8, 4]",34,"[0.7132601737976074, 0.0181952565908432, 0.6575237512588501, 0.28029146790504456, 1.0677540302276611, 0.23299869894981384, 0.18074990808963776, 0.5097998380661011, 1.0441181659698486, 0.9585067629814148, 0.7757611274719238, 0.7853214740753174, 0.39667701721191406, 1.9681715965270996, 0.29071786999702454, 0.5908294320106506, 1.013823390007019, 0.7130378484725952, 0.9659009575843811, 0.19274240732192993, 0.17573150992393494, -0.0060889218002557755, 0.9717442989349365, 0.7269511222839355, 0.4992750585079193, 0.3156917691230774, 0.9749480485916138, 0.06475088000297546, 1.2834057807922363, 0.2495470494031906, 0.6869506239891052, 0.3051741421222687, 0.7069669365882874, 0.17857816815376282, 0.9151448011398315, 0.9574891924858093, 0.3389405310153961, 0.6449882984161377, 0.37909388542175293, 0.6714354753494263, 0.18013271689414978, 0.9524527788162231, 1.163032054901123, 0.9708762764930725, 1.3355072736740112, 0.15650708973407745, 1.389106035232544, 1.5252097845077515, 0.3750627040863037, 1.1761963367462158, 1.0400598049163818, 0.20001773536205292, 0.6603524684906006, 0.9222256541252136, 0.32034003734588623, 0.9133404493331909, 0.036755748093128204, 0.6404353380203247, 0.9038991928100586, 1.4724957942962646, 0.37735483050346375, 0.5558794140815735, 0.03626927733421326, 0.5786761045455933]"
connect,"[18, 12, 5, 5, 4, 18, 8]",34,"[0.91644686460495, 0.04778394103050232, 0.30717945098876953, 0.3859938979148865, 0.6776012778282166, 0.5374191403388977, 0.534561038017273, 0.5167360305786133, 0.8301490545272827, 0.5402145385742188, 0.6680912375450134, 0.4256706237792969, 0.15329821407794952, 1.3263766765594482, 0.32534050941467285, 0.23941442370414734, 1.177424430847168, 0.799354612827301, 1.4026196002960205, 0.52492356300354, 0.47526681423187256, 0.07659335434436798, 0.6389792561531067, 0.5335682034492493, 0.798482358455658, 0.025487743318080902, 0.5956209897994995, 0.06895139813423157, 0.7270989418029785, 0.17376521229743958, 0.31467878818511963, 0.300436407327652, 1.2177131175994873, 0.36069267988204956, 1.0411967039108276, 1.4032833576202393, 0.12251409143209457, 0.7294824719429016, 0.1779922991991043, 0.5552527904510498, 0.2136322408914566, 0.48725003004074097, 1.5671244859695435, 1.2653065919876099, 0.7371691465377808, 0.03295649588108063, 0.7422229647636414, 1.0529565811157227, 0.49157601594924927, 0.7782185077667236, 1.3962010145187378, 0.271610289812088, 0.1786046028137207, 0.34806156158447266, 0.08699772506952286, 0.5666155219078064, 0.08338017016649246, 0.7685768008232117, 0.6342755556106567, 0.8235102891921997, 0.18782617151737213, 0.2917371988296509, 0.11029335856437683, 0.7697179317474365]"
correct,"[18, 12, 11, 11, 4, 18, 8]",34,"[1.0746350288391113, -0.008702948689460754, 0.5350713729858398, 0.36470136046409607, 0.8245693445205688, 0.1893092840909958, 0.414076566696167, 0.37032049894332886, 0.7718263864517212, 0.8211380839347839, 0.5479282736778259, 0.688637912273407, 0.39363008737564087, 1.4981181621551514, 0.5399850606918335, 0.5386926531791687, 1.4788727760314941, 0.47564080357551575, 1.493870735168457, 0.34472212195396423, 0.29008838534355164, 0.020891882479190826, 1.3190312385559082, 0.7749029397964478, 0.6828983426094055, 0.326997309923172, 0.6244385242462158, 0.01705603301525116, 0.8541868329048157, 0.4636390805244446, 0.5598694682121277, 0.5248307585716248, 1.1602799892425537, 0.3526202142238617, 1.3109444379806519, 1.5332798957824707, 0.3779314458370209, 0.46281540393829346, 0.5360421538352966, 0.7621527910232544, 0.41570186614990234, 0.8682229518890381, 1.8277331590652466, 1.5961918830871582, 0.8007521629333496, 0.18886971473693848, 0.9159988760948181, 1.113268494606018, 0.7501076459884644, 0.786522626876831, 1.6467095613479614, 0.07091853022575378, 0.7782624959945679, 0.7509908676147461, 0.26944699883461, 0.8022131323814392, 0.008696921169757843, 0.7669146656990051, 0.742057740688324, 1.171523928642273, 0.300242155790329, 0.8206580281257629, 0.06363720446825027, 0.9696410894393921]"
create,"[18, 11, 4, 2, 8, 4]",34,"[0.6312939524650574, 0.029009439051151276, 0.5524721741676331, 0.20589745044708252, 1.071142554283142, 0.35339000821113586, 0.22012177109718323, 0.5747657418251038, 1.0433354377746582, 0.8367904424667358, 0.8839156627655029, 0.7759838104248047, 0.34080708026885986, 1.9591929912567139, 0.12029051780700684, 0.5202226638793945, 0.8843759298324585, 0.8092748522758484, 0.8880106806755066, 0.1963537186384201, 0.2095780074596405, -0.014783564954996109, 0.6317587494850159, 0.549233078956604, 0.4337049126625061, 0.13439714908599854, 1.138412356376648, 0.0859212577342987, 1.36384916305542, -0.03286665678024292, 0.6371678113937378, 0.19627362489700317, 0.6805763244628906, 0.18309283256530762, 0.7802869081497192, 0.9566497802734375, 0.16588076949119568, 0.8640329241752625, 0.1477268785238266, 0.5367451906204224, -0.0025760382413864136, 0.8170061111450195, 1.0123034715652466, 0.7515681982040405, 1.493059515953064, 0.029315464198589325, 1.436800479888916, 1.637566328048706, 0.24910911917686462, 1.2712620496749878, 0.9199085235595703, 0.2572009265422821, 0.3259519338607788, 0.8225464820861816, 0.289687842130661, 0.7875097990036011, 0.05656598508358002, 0.5620805025100708, 0.8444123864173889, 1.4128786325454712, 0.3419412076473236, 0.2894734740257263, 0.021041661500930786, 0.5001769065856934]"
decide,"[20, 4, 18, 6, 20, 4]",34,"[1.6707006692886353, 0.030697986483573914, 0.16408000886440277, 0.08218613266944885, 0.3166217803955078, 0.43745097517967224, 1.2270029783248901, 0.24692873656749725, 0.4512471854686737, 0.11170294135808945, 0.3775576055049896, 0.5651862621307373, 0.3316987156867981, 0.9584827423095703, 0.4306822419166565, 0.2920166850090027, 1.7967493534088135, 0.5341380834579468, 2.410249710083008, 0.3928127884864807, 0.4184463620185852, -0.017361443489789963, 0.9170084595680237, 0.19654570519924164, 0.6398338675498962, -0.05796393007040024, 0.6564863920211792, 0.08321686089038849, 0.7282088994979858, -0.11683163046836853, 0.45281216502189636, 0.2758733034133911, 1.8439674377441406, 0.7033886313438416, 1.498932123184204, 2.4889345169067383, -0.10132378339767456, 0.7339388132095337, -0.15637262165546417, 0.38804399967193604, 0.21405263245105743, 0.5505039095878601, 2.6301379203796387, 2.309720277786255, 0.7999728918075562, -0.1665741205215454, 0.652084469795227, 1.003192663192749, 0.7663894891738892, 0.5756248235702515, 2.277215003967285, 0.2872740924358368, 0.2481699287891388, 0.4948410987854004, 0.1255071759223938, 0.13778698444366455, 0.0574764721095562, 0.40076977014541626, 0.2172366976737976, 0.5419289469718933, 0.0454169362783432, 0.5676091909408569, 0.1557261049747467, 1.7297829389572144]"
describe,"[20, 4, 7, 18, 11, 6, 10, 4]",34,"[0.2815219461917877, 0.005685657262802124, 0.7854578495025635, 0.5370830297470093, 1.5459038019180298, 0.3852612376213074, 0.14326833188533783, 0.9789736270904541, 1.5609028339385986, 1.4061030149459839, 1.436627745628357, 0.16996458172798157, 0.04344036057591438, 2.2098941802978516, 0.13867616653442383, 0.603256106376648, 0.5572290420532227, 1.1904675960540771, 0.48463883996009827, 0.32911956310272217, 0.32157081365585327, 0.05338349938392639, 0.48486918210983276, 0.99212646484375, 0.6444934606552124, 0.3925820589065552, 0.9955161809921265, -0.004748135805130005, 1.1959264278411865, 0.5426815152168274, 0.27619504928588867, 0.5017040371894836, 0.5225414037704468, 0.13803493976593018, 0.4549359083175659, 0.5043739080429077, 0.7744460701942444, 0.7642486095428467, 0.7427728772163391, 0.5564244389533997, 0.21969382464885712, 0.4004000425338745, 0.5603142976760864, 0.37595421075820923, 1.3529043197631836, 0.49029457569122314, 1.5119632482528687, 1.535891056060791, 0.16587182879447937, 1.651038408279419, 0.5483527183532715, 0.19465897977352142, 0.19786587357521057, 0.500656247138977, 0.42538565397262573, 1.265542984008789, 0.07391946017742157, 0.8175098299980164, 1.4088259935379028, 1.6256670951843262, 0.7393406629562378, 0.004671082366257906, 0.050453558564186096, 0.1390373706817627]"
detail,"[20, 4, 8, 2, 6, 14]",34,"[2.022501230239868, 0.010115981101989746, 0.13211378455162048, 0.19630905985832214, 0.23630818724632263, 0.062007203698158264, 1.1004397869110107, -0.04530172049999237, 0.2102709412574768, 0.3418720066547394, -0.11342459172010422, 0.851099967956543, 0.5422911643981934, 0.7002440094947815, 0.927981436252594, 0.35854044556617737, 2.421579122543335, -0.04732103645801544, 2.8432047367095947, 0.4513295888900757, 0.24996642768383026, -0.0685458853840828, 1.9171135425567627, 0.4986843764781952, 0.7363308072090149, 0.2896363139152527, 0.2104346603155136, 0.07365234196186066, 0.34073030948638916, 0.3106714189052582, 0.5569034814834595, 0.6132327318191528, 2.1806139945983887, 0.7861326336860657, 2.2077808380126953, 2.7877209186553955, 0.2103709876537323, 0.19637566804885864, 0.39869487285614014, 0.8396681547164917, 0.6272602081298828, 0.9780228137969971, 3.3694827556610107, 3.000948905944824, 0.2881140410900116, 0.01798424683511257, 0.32455897331237793, 0.5443664789199829, 1.3393421173095703, 0.11958832293748856, 2.8802804946899414, 0.06040149927139282, 1.080384373664856, 0.7138327360153198, 0.08296665549278259, 0.3631408214569092, -0.014487415552139282, 0.6782586574554443, 0.17446300387382507, 0.5222543478012085, 0.011508001014590263, 1.3804694414138794, 0.12846334278583527, 2.0741782188415527]"
develop,"[20, 4, 28, 4, 14, 12, 3]",34,"[1.9088271856307983, -0.019337698817253113, 0.05372397229075432, 0.6428922414779663, 0.6827720999717712, 0.08835218846797943, 0.8468501567840576, 0.17415183782577515, 0.8514853119850159, 0.9097703099250793, 0.21637332439422607, 0.5968132615089417, 0.34895628690719604, 1.4332435131072998, 1.1491436958312988, 0.15765757858753204, 2.74414324760437, 0.20891600847244263, 2.837768077850342, 0.6806582808494568, 0.3734901547431946, 0.01882898434996605, 2.0684969425201416, 1.0983847379684448, 1.292257308959961, 0.0651775449514389, 0.12830741703510284, 0.06683926284313202, 0.5005967020988464, 0.6209577322006226, 0.38479527831077576, 0.9074987173080444, 2.2696726322174072, 0.9241123795509338, 2.4870972633361816, 2.7084648609161377, 0.5838171243667603, 0.20736992359161377, 0.6362299919128418, 1.2977139949798584, 0.9525319337844849, 0.9328179359436035, 3.5374839305877686, 2.952428102493286, 0.2899358868598938, 0.011086706072092056, 0.5217663049697876, 0.7728601098060608, 1.4667986631393433, 0.39260396361351013, 3.081972360610962, 0.034220725297927856, 0.8604164123535156, 0.4692210853099823, -0.061004552990198135, 0.9227997064590454, -0.010853394865989685, 1.2701098918914795, 0.6094328761100769, 0.9668370485305786, 0.0219394713640213, 1.2742013931274414, 0.07030320167541504, 1.8670518398284912]"
