answer,word_ids,vocab_size,predicted_profiles
choose,"[18, 9, 12, 12, 7, 4]",34,"[0.5187271237373352, 1.6024653911590576, 0.39600813388824463, 0.03352494165301323, 0.49098092317581177, 1.470511555671692, 0.9955410957336426, 0.67948317527771, 0.4491989016532898, 0.3670349419116974, 0.004207317717373371, 0.36134785413742065, 0.6471700072288513, 0.9959323406219482, -0.0007599028758704662, 0.6857803463935852, 0.7438315153121948, 0.6903761625289917, 0.06278614699840546, 1.623490810394287, 0.5934873819351196, 0.297070175409317, 0.5273029804229736, 0.567579984664917, 0.9310610294342041, 0.8281018733978271, 1.0890889167785645, 1.1433560848236084, 1.2760311365127563, 1.2686448097229004, 1.1933799982070923, 0.5795227289199829, 0.9241006374359131, 0.8967458009719849, 1.013899803161621, 0.5824083089828491, 0.5067838430404663, 0.5932530164718628, 0.10334643721580505, 0.1813361644744873, 0.48132312297821045, 0.27481189370155334, 0.4749631881713867, 0.6400783061981201, 1.1803127527236938, 0.45252346992492676, 1.6193156242370605, 1.0890929698944092, 1.6298844814300537, 0.9537431001663208, 0.011805582791566849, 0.22191384434700012, 0.5767016410827637, 1.1114298105239868, 1.4259690046310425, 0.49857938289642334, 0.3013153076171875, 0.013402692973613739, 0.9458520412445068, 0.31729865074157715, 0.15845182538032532, 0.6846020817756653, 0.00536583736538887, 0.336911141872406]"
compare,"[18, 12, 19, 3, 2, 11, 4]",34,"[0.49714383482933044, 1.99501633644104, 1.1261438131332397, 0.16287949681282043, 0.7933846116065979, 0.9451670050621033, 0.3263445198535919, 0.8473486304283142, 1.3417357206344604, 0.15729853510856628, 0.004265625029802322, 1.483973503112793, 1.1271930932998657, 0.6891459226608276, -0.0011373963207006454, 2.8276889324188232, 1.0759458541870117, 0.26631972193717957, 0.014388330280780792, 0.8647883534431458, 1.6819067001342773, 1.5296635627746582, 0.5430113077163696, 0.45761430263519287, 0.3870646059513092, 0.9503335952758789, 0.47150689363479614, 1.3610855340957642, 0.47377559542655945, 0.8038519024848938, 1.5192466974258423, 0.44997137784957886, 1.046892523765564, 0.25851696729660034, 0.38882678747177124, 0.024608314037322998, 2.191987991333008, 1.2202526330947876, 0.06197658181190491, 0.40269923210144043, 2.0607261657714844, 0.2507133185863495, 0.4496256709098816, 0.2553710341453552, 0.7829294204711914, 0.40481144189834595, 1.966504454612732, 0.4208739399909973, 1.873639702796936, 0.7656319737434387, 0.04709390550851822, 1.05532705783844, 1.1410104036331177, 1.513401985168457, 0.31002309918403625, 0.3802904784679413, 0.18122921884059906, -0.006965775042772293, 1.155656337738037, 1.1859946250915527, 1.1145477294921875, 1.6893212795257568, 0.07405637204647064, 0.3166268765926361]"
complete,"[18, 12, 19, 3, 14, 4, 8, 4]",34,"[0.5138900279998779, 1.967306137084961, 0.8691794872283936, 0.14306753873825073, 0.7133111357688904, 1.2076287269592285, 0.6141902208328247, 0.758892297744751, 1.0255966186523438, 0.31646430492401123, 0.0154369305819273, 1.1242121458053589, 0.9710224866867065, 0.7880090475082397, 0.0007765628397464752, 2.0281524658203125, 1.0362259149551392, 0.44638529419898987, 0.03622261434793472, 1.1932681798934937, 1.3202892541885376, 1.132403016090393, 0.5158771872520447, 0.5542798638343811, 0.6003845930099487, 0.9530258178710938, 0.75640869140625, 1.298215627670288, 0.8228676319122314, 1.0361473560333252, 1.5034335851669312, 0.5509357452392578, 1.0596234798431396, 0.5102912783622742, 0.6609554290771484, 0.2337382733821869, 1.5759299993515015, 1.043931484222412, 0.0987355187535286, 0.31735342741012573, 1.551979899406433, 0.27313244342803955, 0.49926406145095825, 0.40819501876831055, 1.006842017173767, 0.40738075971603394, 1.8897879123687744, 0.68556809425354, 1.7869517803192139, 0.8685518503189087, 0.040524356067180634, 0.7638993263244629, 0.9422523379325867, 1.4510774612426758, 0.7551872730255127, 0.4824078679084778, 0.24394311010837555, 0.007153064012527466, 1.0929778814315796, 0.9011016488075256, 0.8105741143226624, 1.350666880607605, 0.08743925392627716, 0.37879636883735657]"
connect,"[18, 12, 5, 5, 4, 18, 8]",34,"[0.25158804655075073, 2.6727302074432373, 0.9174707531929016, 0.03576518967747688, 0.5615161061286926, 1.4286189079284668, 0.8222675919532776, 1.02260422706604, 0.9498572945594788, 0.582856297492981, 0.03585048392415047, 1.0581833124160767, 1.0263099670410156, 0.8127996325492859, -0.007401729933917522, 2.0057969093322754, 1.6610987186431885, 0.5125730037689209, 0.08162525296211243, 1.4740663766860962, 1.2195911407470703, 0.9770746231079102, 0.35662877559661865, 0.18012383580207825, 0.4236203730106354, 1.6303317546844482, 0.9625157713890076, 1.3931078910827637, 0.7711621522903442, 1.2583916187286377, 1.6838953495025635, 1.074422001838684, 1.7766562700271606, 0.6516094207763672, 0.6239591240882874, 0.033279839903116226, 1.4453877210617065, 0.9096258282661438, 0.06737276166677475, 0.29375892877578735, 1.3265975713729858, 0.5373205542564392, 0.19400492310523987, 0.522381067276001, 1.3331111669540405, 0.46493232250213623, 2.587345838546753, 1.0886518955230713, 2.2662715911865234, 1.3180238008499146, 0.014176392927765846, 0.8827118277549744, 1.3528329133987427, 1.470108151435852, 1.067680835723877, 0.06045520305633545, 0.4827795624732971, -0.0006122477352619171, 1.1469533443450928, 0.7465571761131287, 0.7431239485740662, 1.5795820951461792, 0.011701945215463638, 0.07181718945503235]"
correct,"[18, 12, 11, 11, 4, 18, 8]",34,"[0.3770782947540283, 2.366832733154297, 0.7640385031700134, 0.06547200679779053, 0.5584867596626282, 1.479069471359253, 0.9353146553039551, 0.944419801235199, 0.774905800819397, 0.43584179878234863, 0.021640995517373085, 0.8684866428375244, 0.9280635118484497, 0.9387566447257996, -0.009542977437376976, 1.570595622062683, 1.3148325681686401, 0.5931819677352905, 0.08191336691379547, 1.564574122428894, 1.0448849201202393, 0.7897024154663086, 0.459785133600235, 0.3068804144859314, 0.560844361782074, 1.3117634057998657, 1.019106149673462, 1.357773780822754, 0.9505342245101929, 1.286555290222168, 1.578369140625, 0.806613564491272, 1.45534348487854, 0.7768436670303345, 0.8094913363456726, 0.09943607449531555, 1.1331007480621338, 0.826370894908905, 0.08861055970191956, 0.23834991455078125, 1.0749270915985107, 0.4173942804336548, 0.28347063064575195, 0.5842506885528564, 1.343396544456482, 0.5311908721923828, 2.343306303024292, 1.0871528387069702, 2.0996196269989014, 1.2193232774734497, 0.024840375408530235, 0.6344535946846008, 1.1047676801681519, 1.4516122341156006, 1.189555048942566, 0.18573811650276184, 0.4409601092338562, 0.011952221393585205, 1.1238521337509155, 0.5856583118438721, 0.50271075963974, 1.2963916063308716, 0.009135480970144272, 0.17875893414020538]"
create,"[18, 11, 4, 2, 8, 4]",34,"[0.8109385967254639, 1.8908993005752563, 1.109275460243225, -0.04535876214504242, 0.313044935464859, 1.4405242204666138, 0.8254978656768799, 0.49025434255599976, 0.8601418137550354, 0.23196512460708618, 0.009080532006919384, 1.0608255863189697, 1.3514084815979004, 0.723504900932312, -0.007439096923917532, 1.5682123899459839, 0.6094712018966675, 0.371906042098999, 0.043776631355285645, 1.7128427028656006, 1.2979445457458496, 0.866051435470581, 0.3717074990272522, 0.9401493072509766, 1.2252287864685059, 0.5817147493362427, 1.3667417764663696, 1.190285563468933, 1.2237865924835205, 1.6401580572128296, 1.1601049900054932, 0.4093836545944214, 0.757779598236084, 0.5254000425338745, 1.1108092069625854, 0.183536097407341, 1.2718052864074707, 1.073819875717163, 0.1349930465221405, 0.07250212132930756, 0.7037092447280884, 0.0939158946275711, 0.5537228584289551, 0.9509352445602417, 1.3868687152862549, 0.28281715512275696, 2.1213295459747314, 1.281277060508728, 2.140462636947632, 1.0899490118026733, 0.017942184582352638, 0.059517405927181244, 0.442505806684494, 1.5799806118011475, 1.2963154315948486, 0.6256520748138428, 0.1507941633462906, -0.009763313457369804, 1.268201470375061, 0.42264845967292786, 0.12153420597314835, 0.8661759495735168, -0.037137314677238464, 0.1982232928276062]"
decide,"[20, 4, 18, 6, 20, 4]",34,"[0.2626211941242218, 1.6054432392120361, 1.6946908235549927, 0.09288555383682251, -0.011184539645910263, 0.8406782746315002, 0.5327160954475403, 0.1838996857404709, 2.0200705528259277, 0.6052042245864868, 0.05977161228656769, 1.3771228790283203, 1.0259966850280762, 0.09233911335468292, -0.0010361596941947937, 2.744131565093994, 0.7898908853530884, 0.09804704040288925, 0.0289536714553833, 1.0720841884613037, 2.465961456298828, 1.4342265129089355, 0.14308395981788635, 0.7080385684967041, 0.7971856594085693, 1.0418658256530762, 0.9865536093711853, 0.436536580324173, 0.49640586972236633, 1.143532395362854, 0.3888493776321411, 1.1094366312026978, 1.2551895380020142, 0.22072535753250122, 0.47418683767318726, 0.07425859570503235, 2.222198486328125, 0.46022939682006836, 0.40540793538093567, 0.43518584966659546, 2.031027317047119, 0.1612764596939087, 0.8468521237373352, 0.6974490880966187, 0.9311957359313965, -0.01830437406897545, 1.6950352191925049, 1.2941968441009521, 1.531917691230774, 1.0066637992858887, 0.08544586598873138, 0.1977817863225937, 0.3753122389316559, 0.7127970457077026, 1.1819236278533936, 0.494343638420105, 0.10131914913654327, -0.003856740891933441, 0.5457872748374939, 0.6353353261947632, 0.4172235131263733, 0.41682934761047363, 0.03825739026069641, 0.21261924505233765]"
describe,"[20, 4, 7, 18, 11, 6, 10, 4]",34,"[0.2109895646572113, 2.4941365718841553, 0.8570770621299744, 0.11113625764846802, 0.4957636892795563, 1.4432947635650635, 0.8463824987411499, 0.9820383787155151, 1.0094168186187744, 0.6342187523841858, 0.03702623397111893, 0.8123286962509155, 0.8112910985946655, 0.8714791536331177, -0.01060219295322895, 1.843398094177246, 1.56479012966156, 0.608484148979187, 0.06953580677509308, 1.4593027830123901, 1.253462791442871, 0.8034144639968872, 0.4080943465232849, 0.17655882239341736, 0.5083235502243042, 1.6053094863891602, 0.9767169952392578, 1.2932201623916626, 0.8197529315948486, 1.202817440032959, 1.4432419538497925, 1.2096586227416992, 1.7751234769821167, 0.7256366014480591, 0.6785693168640137, 0.11325830966234207, 1.2633310556411743, 0.6181007623672485, 0.07007601112127304, 0.3395804762840271, 1.2149193286895752, 0.5334546566009521, 0.22728146612644196, 0.5617175102233887, 1.25471031665802, 0.514282763004303, 2.376108407974243, 1.1757957935333252, 2.1076555252075195, 1.3720393180847168, 0.043412476778030396, 0.7566748857498169, 1.1907275915145874, 1.2126293182373047, 1.2544194459915161, 0.1264006644487381, 0.5061464905738831, -0.0065070874989032745, 0.9931411743164062, 0.5142589807510376, 0.5408637523651123, 1.2720072269439697, 0.03091626614332199, 0.14436614513397217]"
detail,"[20, 4, 8, 2, 6, 14]",34,"[0.9570090770721436, 1.001924753189087, 2.2707176208496094, 0.2635234594345093, 0.640771210193634, 0.49074020981788635, 0.006970822811126709, 0.24090981483459473, 2.9674394130706787, -0.1358739137649536, -0.02967330999672413, 2.3240230083465576, 1.5111039876937866, 0.22668935358524323, -0.0010026260279119015, 4.633272171020508, -0.051519960165023804, -0.06790214776992798, -0.026872873306274414, 0.569307804107666, 3.2730553150177, 2.655550003051758, 0.635665237903595, 1.604702115058899, 1.0056989192962646, -0.13867563009262085, 0.5899490118026733, 0.755213737487793, 0.4602717459201813, 0.8131352066993713, 0.8041033148765564, -0.2225203812122345, -0.12548187375068665, -0.08253726363182068, 0.49184486269950867, -0.049540333449840546, 3.8196606636047363, 1.6157888174057007, 0.5473911166191101, 0.45614662766456604, 3.5055530071258545, -0.18119581043720245, 1.5591130256652832, 0.45793837308883667, 0.5503151416778564, 0.04214362055063248, 1.1784436702728271, 0.23565658926963806, 1.299769401550293, 0.3003098964691162, 0.06881259381771088, 0.341349333524704, 0.1178489550948143, 1.3392738103866577, 0.008313365280628204, 1.2754414081573486, -0.13494469225406647, -0.008256422355771065, 1.0378358364105225, 1.9570388793945312, 1.1193181276321411, 0.9716900587081909, 0.10999846458435059, 0.7205983996391296]"
develop,"[20, 4, 28, 4, 14, 12, 3]",34,"[0.3669144809246063, 1.4469794034957886, 1.6488090753555298, 0.4902864396572113, 0.7076913118362427, 0.4493253827095032, -0.04214627295732498, 0.42983126640319824, 2.2337586879730225, 0.12266437709331512, 0.020113512873649597, 2.1867220401763916, 1.1131969690322876, 0.13732564449310303, 0.0025358637794852257, 4.036391258239746, 0.8264673948287964, -0.10550206899642944, -0.0007483232766389847, 0.3379848003387451, 2.606410503387451, 2.4062018394470215, 0.38639307022094727, 0.674368143081665, 0.21673467755317688, 0.7706438302993774, 0.20640414953231812, 0.8508139848709106, 0.039694055914878845, 0.42258259654045105, 0.9917764663696289, 0.38186436891555786, 0.7966152429580688, -0.12267616391181946, -0.017352130264043808, -0.1473539173603058, 3.2535481452941895, 1.3079960346221924, 0.16771097481250763, 0.6417207717895508, 3.3931665420532227, 0.09745648503303528, 0.8586469888687134, 0.06703117489814758, 0.4137066602706909, 0.052656807005405426, 1.475386381149292, 0.19702672958374023, 1.4084506034851074, 0.38957637548446655, 0.07521097362041473, 1.0794504880905151, 0.7985804677009583, 1.2128524780273438, -0.0097099170088768, 0.6552373170852661, 0.0045090289786458015, -0.011872297152876854, 0.906711757183075, 1.832654595375061, 1.5654168128967285, 1.5021425485610962, 0.3152966797351837, 0.5853028297424316]"
