answer,word_ids,vocab_size,predicted_profiles
choose,"[18, 9, 12, 12, 7, 4]",34,"[1.3586212396621704, 0.32213056087493896, 1.21491539478302, 1.1060324907302856, 0.003172609955072403, 1.0386030673980713, 0.3676491975784302, 0.7190263271331787, 0.6776517033576965, 0.010145578533411026, 0.5218054056167603, 1.1163380146026611, -0.00041527021676301956, 0.6720898151397705, 0.9097944498062134, -0.01972474902868271, 1.742991328239441, 0.7298799753189087, 0.2462759017944336, 0.0017488974845036864, 0.818634569644928, 0.6509571671485901, 0.10112982243299484, 0.872921884059906, 1.6164798736572266, 1.866829514503479, 1.1403460502624512, 0.006899068132042885, 0.32492804527282715, 0.38101282715797424, 1.1882197856903076, 1.2650303840637207, 0.9048471450805664, 1.398228645324707, 0.0006567174568772316, 0.3052891492843628, -0.0043081920593976974, 0.47347164154052734, 1.5625596046447754, 0.4797903895378113, 0.22665895521640778, 0.4246094524860382, 0.20621368288993835, 0.36886289715766907, 0.32533225417137146, 0.4925025701522827, 0.304567813873291, 0.66182541847229, 0.08971451222896576, 1.2437411546707153, 0.02046499401330948, 1.189349889755249, 0.4445541799068451, 0.0053717344999313354, 1.0321036577224731, 0.3723697066307068, -0.12914936244487762, 0.2143760770559311, 0.6290349364280701, 0.765021026134491, 1.1381083726882935, 0.14367318153381348, 1.6458280086517334, 0.25209343433380127]"
compare,"[18, 12, 19, 3, 2, 11, 4]",34,"[0.6680383086204529, 1.4110283851623535, 0.7115245461463928, 0.6202826499938965, -0.0006313808262348175, 0.21865405142307281, 1.2236733436584473, 0.685771644115448, 0.8496958613395691, 0.0858968049287796, 0.41427773237228394, 0.8539744019508362, 0.006061299704015255, 0.8222389221191406, 1.6260298490524292, 0.4377479553222656, 0.7144564390182495, 0.4194183051586151, 0.8426841497421265, 0.000994730624370277, 0.2511906623840332, 0.5234502553939819, 0.9857290983200073, 0.12567421793937683, 0.6142609119415283, 0.6783064007759094, 0.6122952103614807, -0.0014497805386781693, -0.036856334656476974, 1.53921377658844, 0.6113824844360352, 0.40756508708000183, 0.4800347089767456, 0.9260535836219788, 0.011678358539938927, 1.162142276763916, 3.331247717142105e-05, 0.3787274658679962, 1.1004780530929565, 1.5489683151245117, 0.21055637300014496, 1.017159342765808, -0.05293708294630051, 1.4139180183410645, 0.3198155462741852, 0.9346679449081421, 1.0518310070037842, 1.4377549886703491, -0.021034281700849533, 0.5843136310577393, 0.0683378204703331, 0.6966058611869812, 1.720828652381897, 0.715674102306366, 1.0534052848815918, 0.5489603281021118, 0.43516260385513306, 0.40146157145500183, 0.3835732936859131, 0.1885404884815216, 1.2671617269515991, 0.09368690848350525, 0.7821528911590576, 0.8413105010986328]"
complete,"[18, 12, 19, 3, 14, 4, 8, 4]",34,"[0.7552648782730103, 0.9697411060333252, 0.6801207065582275, 0.6097297668457031, -0.001416485756635666, 0.4484691321849823, 0.7879282236099243, 1.1172947883605957, 0.9261232614517212, 0.20792922377586365, 0.5552229881286621, 0.9289712309837341, 0.004677586257457733, 0.7971038818359375, 1.3636069297790527, 0.5941539406776428, 0.9302599430084229, 0.5080782175064087, 0.5281805992126465, -0.001109166769310832, 0.40978479385375977, 0.36375683546066284, 0.7960016131401062, 0.40690672397613525, 0.9545736312866211, 1.0319509506225586, 0.8902392387390137, -0.0005536749958992004, 0.1267547756433487, 1.0579724311828613, 1.0250470638275146, 0.6907937526702881, 0.5288436412811279, 1.2380590438842773, 0.0020532612688839436, 0.7517869472503662, -0.017798814922571182, 0.33015936613082886, 1.5850962400436401, 0.9753441214561462, 0.2695527672767639, 0.7666046023368835, -0.0077532809227705, 1.0977941751480103, 0.17575496435165405, 0.5723744630813599, 0.6650279760360718, 1.1779049634933472, 0.14623980224132538, 1.0134559869766235, 0.1955544501543045, 1.1242506504058838, 1.2334798574447632, 0.7382177114486694, 1.1766647100448608, 0.3471534252166748, 0.4079868793487549, 0.34695079922676086, 0.8251084685325623, 0.513677716255188, 1.2931901216506958, 0.19392767548561096, 0.9219292998313904, 0.5407899022102356]"
connect,"[18, 12, 5, 5, 4, 18, 8]",34,"[0.5402876138687134, 0.8821392059326172, 0.4205929934978485, 0.3910265564918518, 0.0029763393104076385, 0.27764785289764404, 0.8120557069778442, 0.9681829810142517, 0.6754110455513, 0.23221084475517273, 0.5057544112205505, 0.5529187917709351, 0.004532291553914547, 0.535723865032196, 0.9759167432785034, 0.6103018522262573, 0.582899808883667, 0.4140236973762512, 0.477090060710907, 0.00017329247202724218, 0.28597450256347656, 0.2385110706090927, 0.753663182258606, 0.31278061866760254, 0.6589875817298889, 0.6124825477600098, 0.6627755165100098, 0.006818993948400021, 0.18108229339122772, 0.8916406631469727, 0.7652597427368164, 0.46549904346466064, 0.33341550827026367, 0.8098639249801636, -0.0053863525390625, 0.7068262696266174, -0.022505033761262894, 0.39144405722618103, 1.2271759510040283, 0.8505648374557495, 0.29210036993026733, 0.5844668745994568, 0.021724389865994453, 0.9584438800811768, 0.10916303098201752, 0.5374319553375244, 0.6147993206977844, 0.9539546966552734, 0.2060943841934204, 0.8156159520149231, 0.24383527040481567, 0.8721598386764526, 1.0707347393035889, 0.7930985689163208, 0.8057584762573242, 0.2689094543457031, 0.3918943405151367, 0.3446510434150696, 0.6935965418815613, 0.3960138261318207, 0.8323022127151489, 0.20749768614768982, 0.522087812423706, 0.45186513662338257]"
correct,"[18, 12, 11, 11, 4, 18, 8]",34,"[1.090674638748169, 0.5796061158180237, 0.9297865629196167, 0.8119103908538818, -0.00027281977236270905, 0.7262083888053894, 0.5388404130935669, 0.9336360692977905, 0.744638204574585, 0.178043395280838, 0.560449481010437, 0.9950405955314636, -0.0020577218383550644, 0.7248687744140625, 1.1066715717315674, 0.2843647301197052, 1.2836594581604004, 0.5948008298873901, 0.3793391287326813, 0.0028160884976387024, 0.5997940897941589, 0.5408738851547241, 0.42557573318481445, 0.6321260333061218, 1.2963018417358398, 1.3361598253250122, 0.9770547151565552, -0.003367595374584198, 0.228777214884758, 0.6487092971801758, 1.110259771347046, 0.9616625905036926, 0.7046289443969727, 1.2540103197097778, -0.0021437739487737417, 0.5294228792190552, -0.005299432203173637, 0.36383768916130066, 1.5646005868911743, 0.7193283438682556, 0.29069146513938904, 0.5827736258506775, 0.08866345137357712, 0.6657418012619019, 0.2702523469924927, 0.5342652201652527, 0.4810604453086853, 0.9163700342178345, 0.2106265127658844, 1.1403931379318237, 0.16457216441631317, 1.18381929397583, 0.8010960817337036, 0.35135722160339355, 1.0544168949127197, 0.3674246370792389, 0.1436096876859665, 0.2951929271221161, 0.7502906918525696, 0.6248535513877869, 1.1570775508880615, 0.16670812666416168, 1.2470004558563232, 0.3635191321372986]"
create,"[18, 11, 4, 2, 8, 4]",34,"[1.5091373920440674, 0.4051886200904846, 1.3893722295761108, 1.1534950733184814, 0.019633857533335686, 0.7650099992752075, 0.4622521698474884, 0.8677547574043274, 0.8260976672172546, 0.008855301886796951, 0.5053249597549438, 1.226585030555725, -0.0012358734384179115, 0.6070294976234436, 1.1152266263961792, 0.12707804143428802, 1.8144575357437134, 0.3928335905075073, 0.4272664785385132, -0.0013457912718877196, 0.7126346826553345, 1.0157307386398315, 0.17218628525733948, 0.6263353824615479, 1.486133098602295, 1.6775846481323242, 1.1822030544281006, 0.006655207835137844, 0.06625701487064362, 0.41408827900886536, 1.1092588901519775, 1.1365978717803955, 0.7316681742668152, 1.4651106595993042, 0.005621634889394045, 0.26114988327026367, -0.006060653366148472, 0.6144343614578247, 1.6332403421401978, 0.6556949019432068, -0.03516185283660889, 0.4290482997894287, 0.04889087378978729, 0.6066873669624329, 0.510313093662262, 0.844886064529419, 0.6243150234222412, 0.6774897575378418, 0.05096086487174034, 1.30474054813385, 0.020419936627149582, 1.12600576877594, 0.6172693967819214, 0.10240840166807175, 1.0865658521652222, 0.7903261780738831, 0.003164175897836685, 0.02255510538816452, 0.5521026849746704, 0.5468860864639282, 1.3663991689682007, 0.08737091720104218, 1.5515964031219482, 0.3265388607978821]"
decide,"[20, 4, 18, 6, 20, 4]",34,"[0.9302638173103333, 1.2734363079071045, 1.0168615579605103, 0.8455263376235962, 0.001775156706571579, 0.37563657760620117, 1.3994009494781494, 0.43934881687164307, 0.6718140840530396, -0.02358170598745346, 0.2654280960559845, 0.9446566104888916, -0.012248018756508827, 0.6950820684432983, 1.4068306684494019, 0.038588691502809525, 0.9802936315536499, 0.48196664452552795, 0.9510344862937927, -0.0004949652357026935, 0.3100073039531708, 0.8421019911766052, 0.603263258934021, 0.20004208385944366, 0.8409296274185181, 0.9374818801879883, 0.7122916579246521, 0.00254132691770792, 0.02340906485915184, 1.3140435218811035, 0.5774653553962708, 0.5971046686172485, 0.6287356019020081, 0.86448073387146, 0.0011567207984626293, 1.1357989311218262, -0.015483014285564423, 0.4363884925842285, 0.9052309393882751, 1.610214114189148, 0.12067979574203491, 0.9061026573181152, -0.020500198006629944, 1.145269513130188, 0.46845000982284546, 1.2442208528518677, 1.1117748022079468, 1.3099478483200073, -0.06140948086977005, 0.6463038921356201, -0.08185476064682007, 0.5976788401603699, 1.4909801483154297, 0.20294877886772156, 0.7633262872695923, 0.8118340969085693, 0.007983410730957985, 0.3598601222038269, 0.1461440771818161, 0.2151525616645813, 1.1719906330108643, -0.0003899410367012024, 1.0588788986206055, 0.9162111282348633]"
describe,"[20, 4, 7, 18, 11, 6, 10, 4]",34,"[1.0848071575164795, 0.5060268044471741, 0.9348530769348145, 0.7567306756973267, 0.004351027309894562, 0.4038461148738861, 0.49134883284568787, 1.0489704608917236, 0.8628311157226562, 0.11525967717170715, 0.6747292876243591, 0.9554451704025269, -0.00121214147657156, 0.5559266209602356, 1.2087751626968384, 0.3756188750267029, 1.1774228811264038, 0.23802417516708374, 0.47084230184555054, 5.462975241243839e-05, 0.495480477809906, 0.6990759372711182, 0.4277544915676117, 0.43003135919570923, 1.0676881074905396, 1.0920586585998535, 0.924058198928833, 0.004056254401803017, -0.04220760241150856, 0.5743564963340759, 1.0083978176116943, 0.7374182939529419, 0.42412200570106506, 1.2418817281723022, -0.0027997372671961784, 0.3123027980327606, -0.017712589353322983, 0.6086207628250122, 1.570409893989563, 0.6850103735923767, 0.04805522412061691, 0.43765148520469666, -0.02610798366367817, 0.8023362159729004, 0.3732655644416809, 0.7717549800872803, 0.7259148359298706, 0.6815831661224365, 0.06769557297229767, 1.1543114185333252, 0.15211711823940277, 1.0783443450927734, 0.7889747619628906, 0.49458104372024536, 1.0951422452926636, 0.6707185506820679, 0.18869709968566895, 0.028602175414562225, 0.6304931640625, 0.44257819652557373, 1.2950401306152344, 0.1686817705631256, 1.0214990377426147, 0.3127041757106781]"
detail,"[20, 4, 8, 2, 6, 14]",34,"[0.18497179448604584, 1.9233239889144897, 0.4687047004699707, 0.5321766138076782, 0.0051621124148368835, 0.36689260601997375, 1.5825395584106445, 0.48255518078804016, 0.7343286275863647, 0.0647636279463768, 0.0900019109249115, 0.9821606874465942, 0.017456449568271637, 1.143534541130066, 1.9492032527923584, 0.3127500116825104, 0.28060391545295715, 0.9821972846984863, 0.9718841910362244, -0.0024386916775256395, 0.01425769180059433, 0.16419443488121033, 1.2038894891738892, 0.1436484456062317, 0.5016424655914307, 0.6457767486572266, 0.3900185525417328, 0.0008395928889513016, 0.3384200930595398, 2.1847875118255615, 0.6032370328903198, 0.4597301781177521, 0.7617078423500061, 0.9227241277694702, 0.004150621127337217, 1.759282112121582, -0.0005855201743543148, -0.035145699977874756, 0.8449497222900391, 1.914203405380249, 0.7012783288955688, 1.535094141960144, 0.041036397218704224, 1.626204490661621, 0.23899099230766296, 0.7755465507507324, 1.0796892642974854, 2.182880163192749, 0.1713925451040268, 0.24281898140907288, 0.0005077607929706573, 0.5947437286376953, 2.3605380058288574, 0.5639009475708008, 1.1239349842071533, 0.29713529348373413, 0.48699048161506653, 0.9335815906524658, 0.4657846689224243, 0.16550672054290771, 1.3218101263046265, 0.01247376948595047, 0.8066971302032471, 1.2303767204284668]"
develop,"[20, 4, 28, 4, 14, 12, 3]",34,"[-0.11043982207775116, 2.3743736743927, 0.1400844156742096, 0.14444313943386078, -0.002581564709544182, 0.07848481833934784, 1.8691468238830566, 0.4342251121997833, 0.7558021545410156, 0.13836130499839783, 0.03575746715068817, 0.7469426989555359, 0.03266562521457672, 1.2253884077072144, 2.0454533100128174, 0.6315956711769104, -0.12928986549377441, 0.8893733024597168, 1.0717486143112183, 0.0021847127936780453, -0.05289474129676819, 0.035901956260204315, 1.7529460191726685, -0.03196599334478378, 0.11568059772253036, 0.10826832056045532, 0.17667090892791748, -0.005316101014614105, 0.3184065818786621, 2.7370738983154297, 0.28970038890838623, 0.1261473000049591, 0.5421233773231506, 0.6625620722770691, 0.0006744256243109703, 2.1981189250946045, 0.017588360235095024, -0.11618268489837646, 0.6879339218139648, 2.2315046787261963, 0.8489574193954468, 1.7473102807998657, -0.03884045407176018, 2.0436744689941406, 0.13494981825351715, 0.7028238773345947, 1.147267460823059, 2.4860923290252686, 0.21718774735927582, -0.052148982882499695, 0.1051952913403511, 0.3766925036907196, 2.8685500621795654, 1.0176360607147217, 1.0467619895935059, 0.14307023584842682, 0.9712709188461304, 1.1558836698532104, 0.5274184346199036, -0.010531713254749775, 1.1832743883132935, 0.05417119711637497, 0.35211777687072754, 1.4151564836502075]"
different,"[20, 6, 22, 22, 4, 11, 4, 5, 8]",34,"[1.1590025424957275, 0.38549166917800903, 0.9104679226875305, 0.9395742416381836, 0.00769549235701561, 1.224618673324585, 0.30415159463882446, 0.9250719547271729, 0.5833122730255127, 0.15223734080791473, 0.6208701133728027, 0.9883742928504944, 0.006683554500341415, 0.7299709916114807, 0.7767632007598877, 0.1631133258342743, 1.6545400619506836, 0.9989681243896484, 0.21610453724861145, 0.0011684329947456717, 0.8614267706871033, 0.3399384617805481, 0.23539891839027405, 1.0918828248977661, 1.6771292686462402, 1.8829032182693481, 1.056166648864746, -0.00023173540830612183, 0.6426967978477478, 0.40691590309143066, 1.4607548713684082, 1.3514556884765625, 0.9327963590621948, 1.4147535562515259, 0.009873790666460991, 0.31693023443222046, -0.006010356824845076, 0.2654847502708435, 1.7057785987854004, 0.3888682723045349, 0.5865177512168884, 0.48318374156951904, 0.3050975203514099, 0.3352496027946472, 0.14568236470222473, 0.280756413936615, 0.2322145700454712, 0.7225542068481445, 0.3804225027561188, 1.3861820697784424, 0.20429012179374695, 1.449232578277588, 0.4207136332988739, 0.107625812292099, 1.0454654693603516, 0.18179312348365784, 0.07364483177661896, 0.4425867199897766, 0.9384156465530396, 1.0144927501678467, 1.0225157737731934, 0.2247960865497589, 1.5265966653823853, 0.23942217230796814]"
discover,"[20, 6, 7, 18, 12, 28, 4, 11]",34,"[1.1187692880630493, 0.2798497974872589, 0.6765773296356201, 0.5848913788795471, -0.006323192268610001, 0.7336431741714478, 0.27334919571876526, 1.3759586811065674, 0.7376142740249634, 0.312216579914093, 1.0028308629989624, 0.8245863318443298, 0.004672377370297909, 0.48917895555496216, 0.8568663597106934, 0.45402348041534424, 1.3228282928466797, 0.48381954431533813, 0.22456133365631104, 0.002223432995378971, 0.7659152150154114, 0.3154367506504059, 0.34648534655570984, 0.9008102416992188, 1.2975062131881714, 1.3593887090682983, 1.0594555139541626, -0.0006790701299905777, 0.23491044342517853, 0.3805893659591675, 1.3968591690063477, 1.0090841054916382, 0.47567975521087646, 1.354577660560608, -0.001674033934250474, 0.1823379546403885, -0.01355223823338747, 0.540885329246521, 1.8939151763916016, 0.40221264958381653, 0.30008625984191895, 0.2880817651748657, 0.06202050298452377, 0.5030855536460876, 0.1362980604171753, 0.4465552866458893, 0.3879130780696869, 0.4568468928337097, 0.3059963285923004, 1.566555142402649, 0.45948371291160583, 1.4492696523666382, 0.40675458312034607, 0.5256109237670898, 1.0986518859863281, 0.2904627323150635, 0.1778305619955063, 0.12401631474494934, 1.0566259622573853, 0.891782283782959, 1.043898105621338, 0.4601728320121765, 0.9883778691291809, 0.1503119319677353]"
