answer,word_ids,vocab_size,predicted_profiles
choose,"[18, 9, 12, 12, 7, 4]",34,"[0.15336164832115173, 0.1940268874168396, 0.4456087052822113, 0.095908522605896, 0.11109423637390137]"
compare,"[18, 12, 19, 3, 2, 11, 4]",34,"[0.5132606029510498, 0.04377637058496475, 0.1622876077890396, 0.26585736870765686, 0.014817987568676472]"
complete,"[18, 12, 19, 3, 14, 4, 8, 4]",34,"[0.508395791053772, 0.08570033311843872, 0.1979205161333084, 0.18422144651412964, 0.023761872202157974]"
connect,"[18, 12, 5, 5, 4, 18, 8]",34,"[0.20787851512432098, 0.18165312707424164, 0.1979394406080246, 0.3618566393852234, 0.05067221820354462]"
correct,"[18, 12, 11, 11, 4, 18, 8]",34,"[0.36074748635292053, 0.14578166604042053, 0.19881658256053925, 0.2588821053504944, 0.03577212989330292]"
create,"[18, 11, 4, 2, 8, 4]",34,"[0.5551717877388, 0.05829247087240219, 0.20046304166316986, 0.13507339358329773, 0.05099929869174957]"
decide,"[20, 4, 18, 6, 20, 4]",34,"[0.2873121500015259, 0.35309937596321106, 0.12998223304748535, 0.10163608193397522, 0.1279701292514801]"
describe,"[20, 4, 7, 18, 11, 6, 10, 4]",34,"[0.1050153523683548, 0.10392961651086807, 0.23492230474948883, 0.28465536236763, 0.2714773416519165]"
detail,"[20, 4, 8, 2, 6, 14]",34,"[0.19682568311691284, 0.5011430382728577, 0.07080505788326263, 0.21136152744293213, 0.01986473985016346]"
develop,"[20, 4, 28, 4, 14, 12, 3]",34,"[0.13528753817081451, 0.5867069363594055, 0.05637988820672035, 0.21352316439151764, 0.008102452382445335]"
different,"[20, 6, 22, 22, 4, 11, 4, 5, 8]",34,"[0.5409373641014099, 0.06325226277112961, 0.29270824790000916, 0.0884038656949997, 0.014698291197419167]"
discover,"[20, 6, 7, 18, 12, 28, 4, 11]",34,"[0.08567411452531815, 0.04254729673266411, 0.6755688786506653, 0.14509984850883484, 0.051109906286001205]"
example,"[4, 27, 2, 19, 3, 14, 4]",34,"[0.6064937114715576, 0.08472798764705658, 0.1284361034631729, 0.15861576795578003, 0.02172640711069107]"
explain,"[4, 27, 3, 14, 2, 6, 5]",34,"[0.16755110025405884, 0.07313472032546997, 0.49875327944755554, 0.18456898629665375, 0.07599196583032608]"
explore,"[4, 27, 3, 14, 12, 11, 4]",34,"[0.15343903005123138, 0.09852292388677597, 0.3151598870754242, 0.4002110958099365, 0.032667018473148346]"
finally,"[22, 6, 5, 2, 14, 14, 21]",34,"[0.39838096499443054, 0.05552513524889946, 0.4667165279388428, 0.042108435183763504, 0.03726891055703163]"
first,"[22, 6, 11, 7, 8]",34,"[0.35161012411117554, 0.27443864941596985, 0.09271080791950226, 0.2397911548614502, 0.04144936800003052]"
idea,"[6, 20, 4, 2]",34,"[0.58702152967453, 0.06671939790248871, 0.1625228077173233, 0.13413161039352417, 0.04960470274090767]"
imagine,"[6, 19, 2, 17, 6, 5, 4]",34,"[0.11459668725728989, 0.20125244557857513, 0.27328237891197205, 0.380534291267395, 0.030334193259477615]"
important,"[6, 19, 3, 12, 11, 8, 2, 5, 8]",34,"[0.08863496780395508, 0.1057211235165596, 0.18053334951400757, 0.610660970211029, 0.014449544250965118]"
improve,"[6, 19, 3, 11, 12, 28, 4]",34,"[0.07750485837459564, 0.028169745579361916, 0.6455557942390442, 0.2375926971435547, 0.01117679849267006]"
information,"[6, 5, 22, 12, 11, 19, 2, 8, 6, 12, 5]",34,"[0.05881935730576515, 0.11145661771297455, 0.4877769351005554, 0.3281630873680115, 0.013784022070467472]"
learn,"[14, 4, 2, 11, 5]",34,"[0.6027430295944214, 0.06198214367032051, 0.17480766773223877, 0.13098874688148499, 0.029478397220373154]"
middle,"[19, 6, 20, 20, 14, 4]",34,"[0.5203419923782349, 0.08336327224969864, 0.21757367253303528, 0.11634507030248642, 0.06237604096531868]"
next,"[5, 4, 27, 8]",34,"[0.23933224380016327, 0.22846588492393494, 0.17060600221157074, 0.3061292767524719, 0.05546651780605316]"
